VTW,BTW,VAW,BAW,V,VMG,PHI,REEF,FLAT,XX,SAIL,Notes
6,40,8.97,25.16,3.571,2.736,2.6,1,0.8007,4,Jib,
6,45,9.6,25.91,4.43,3.132,3.5,1,0.9475,4,Jib,
6,50,10,27.01,5.083,3.268,4,1,1,3,Jib,
6,50.5,10.02,27.13,5.133,3.268,4,1,1,2,Jib,OPTUP
6,55,10.21,28.39,5.569,3.194,4.2,1,1,3,Jib,
6,60,10.29,29.92,5.941,2.971,4.3,1,1,3,Jib,
6,65,10.26,31.57,6.224,2.631,4.4,1,1,3,Jib,
6,70,10.13,33.34,6.428,2.199,4.3,1,1,3,Jib,
6,75,9.93,35.22,6.566,1.699,4.2,1,1,3,Jib,
6,80,9.82,37.63,6.703,1.164,5.6,1,1,2,Asym Spintacked on CL,
6,85,9.57,39.35,6.854,0.597,5.5,1,1,2,Asym Spintacked on CL,
6,90,9.25,41.21,6.945,0,5.2,1,1,2,Asym Spintacked on CL,
6,95,8.85,43.32,6.963,-0.607,4.7,1,1,2,Asym Spintacked on CL,
6,100,8.39,45.7,6.915,-1.201,4.2,1,1,2,Asym Spintacked on CL,
6,105,7.89,48.37,6.815,-1.764,3.7,1,1,2,Asym Spintacked on CL,
6,110,7.34,51.38,6.669,-2.281,3.2,1,1,2,Asym Spintacked on CL,
6,115,6.77,54.81,6.482,-2.739,2.7,1,1,2,Asym Spintacked on CL,
6,120,6.18,58.92,6.243,-3.121,2.3,1,1,2,Asym Spintacked on CL,
6,125,5.56,64.12,5.932,-3.402,1.8,1,1,2,Asym Spintacked on CL,
6,130,4.95,70.88,5.551,-3.568,1.4,1,1,2,Asym Spintacked on CL,
6,135,4.39,79.53,5.119,-3.62,1,1,1,2,Asym Spintacked on CL,
6,135.3,4.36,80.1,5.093,-3.62,1,1,1,1,Asym Spintacked on CL,OPTDN
6,140,3.93,89.86,4.691,-3.593,0.7,1,1,2,Asym Spintacked on CL,
6,145,3.57,101.12,4.317,-3.536,0.5,1,1,2,Asym Spintacked on CL,
6,150,3.31,112.79,4.009,-3.471,0.4,1,1,2,Asym Spintacked on CL,
6,155,3.14,124.74,3.747,-3.396,0.3,1,1,2,Asym Spintacked on CL,
6,160,3.05,136.79,3.517,-3.305,0.2,1,1,2,Asym Spintacked on CL,
6,165,3.02,148.4,3.332,-3.218,0.1,1,1,2,Asym Spintacked on CL,
6,170,2.84,158.67,3.215,-3.166,0,1,1,3,Poled Jib,
6,175,2.81,169.37,3.166,-3.154,0,1,1,3,Poled Jib,
6,180,2.87,180,3.086,-3.086,0,1,1,2,Poled Jib,
8,40,11.87,25.34,4.655,3.566,4.1,1,0.7845,4,Jib,
8,45,12.53,26.4,5.62,3.974,5.8,1,0.9125,4,Jib,
8,49.4,12.9,27.55,6.266,4.076,7.7,1,1,3,Jib,OPTUP
8,50,12.93,27.73,6.338,4.074,7.8,1,1,3,Jib,
8,55,13.09,29.41,6.837,3.922,8.2,1,1,3,Jib,
8,60,13.12,31.2,7.232,3.616,8.4,1,1,3,Jib,
8,65,13.04,33.05,7.552,3.192,8.5,1,1,3,Jib,
8,70,12.85,35.05,7.78,2.661,8.2,1,1,3,Jib,
8,75,12.75,37.33,7.954,2.059,12.1,1,1,2,Asym Spintacked on CL,
8,80,12.47,39.27,8.155,1.416,12.1,1,1,2,Asym Spintacked on CL,
8,85,12.09,41.43,8.279,0.722,11.4,1,1,2,Asym Spintacked on CL,
8,90,11.64,43.8,8.339,0,10.3,1,1,2,Asym Spintacked on CL,
8,95,11.13,46.37,8.34,-0.727,8.9,1,1,2,Asym Spintacked on CL,
8,100,10.57,49.09,8.3,-1.441,7.4,1,1,2,Asym Spintacked on CL,
8,105,9.96,51.99,8.219,-2.127,6,1,1,2,Asym Spintacked on CL,
8,110,9.31,55.14,8.096,-2.769,4.9,1,1,2,Asym Spintacked on CL,
8,115,8.63,58.71,7.918,-3.346,4.1,1,1,2,Asym Spintacked on CL,
8,120,7.91,63.01,7.66,-3.83,3.3,1,1,2,Asym Spintacked on CL,
8,125,7.18,68.42,7.309,-4.192,2.7,1,1,2,Asym Spintacked on CL,
8,130,6.46,75.03,6.905,-4.438,2.1,1,1,2,Asym Spintacked on CL,
8,135,5.81,82.78,6.49,-4.589,1.5,1,1,2,Asym Spintacked on CL,
8,140,5.24,92.12,6.048,-4.633,1.2,1,1,2,Asym Spintacked on CL,
8,140.3,5.21,92.7,6.022,-4.633,1.1,1,1,1,Asym Spintacked on CL,OPTDN
8,145,4.79,102.52,5.637,-4.617,0.9,1,1,2,Asym Spintacked on CL,
8,150,4.44,113.54,5.281,-4.574,0.6,1,1,2,Asym Spintacked on CL,
8,155,4.21,125.06,4.968,-4.502,0.4,1,1,2,Asym Spintacked on CL,
8,160,4.07,136.84,4.685,-4.403,0.3,1,1,2,Asym Spintacked on CL,
8,165,4.02,148.33,4.451,-4.299,0.2,1,1,2,Asym Spintacked on CL,
8,170,3.78,158.59,4.3,-4.235,0,1,1,3,Poled Jib,
8,175,3.73,169.32,4.238,-4.221,0,1,1,3,Poled Jib,
8,180,3.8,180,4.134,-4.134,0,1,1,3,Poled Jib,
10,40,14.54,25.8,5.498,4.212,6.2,1,0.741,4,Jib,
10,45,15.19,27.07,6.502,4.598,9.4,1,0.8563,3,Jib,
10,48.2,15.41,28.07,6.956,4.64,11,1,0.9116,2,Jib,OPTUP
