VTW,  BTW,   VAW,   BAW,     V,     VMG,   PHI,SAIL,ShortSail,Notes
6.0,180.0,3.04,180.0,3.074,-3.074,0.0,Asym Spin tacked on CL,AS,
6.0,179.0,3.03,178.0,3.080,-3.079,0.0,Asym Spin tacked on CL,AS,
6.0,178.0,3.03,176.0,3.087,-3.085,0.0,Asym Spin tacked on CL,AS,
6.0,177.0,3.02,173.9,3.095,-3.091,0.0,Asym Spin tacked on CL,AS,
6.0,176.0,3.02,171.9,3.106,-3.098,0.0,Asym Spin tacked on CL,AS,
6.0,175.0,3.02,169.8,3.118,-3.106,0.0,Asym Spin tacked on CL,AS,
6.0,174.0,3.01,167.8,3.131,-3.114,0.1,Asym Spin tacked on CL,AS,
6.0,173.0,3.01,165.7,3.146,-3.123,0.1,Asym Spin tacked on CL,AS,
6.0,172.0,3.01,163.6,3.163,-3.132,0.1,Asym Spin tacked on CL,AS,
6.0,171.0,3.01,161.5,3.181,-3.142,0.1,Asym Spin tacked on CL,AS,
6.0,170.0,3.01,159.4,3.201,-3.153,0.1,Asym Spin tacked on CL,AS,
6.0,169.0,3.01,157.2,3.223,-3.164,0.1,Asym Spin tacked on CL,AS,
6.0,168.0,3.01,155.0,3.247,-3.176,0.1,Asym Spin tacked on CL,AS,
6.0,167.0,3.01,152.9,3.273,-3.190,0.1,Asym Spin tacked on CL,AS,
6.0,166.0,3.02,150.6,3.302,-3.203,0.1,Asym Spin tacked on CL,AS,
6.0,165.0,3.02,148.4,3.332,-3.218,0.1,Asym Spin tacked on CL,AS,
6.0,164.0,3.02,146.1,3.365,-3.234,0.1,Asym Spin tacked on CL,AS,
6.0,163.0,3.03,143.8,3.400,-3.251,0.1,Asym Spin tacked on CL,AS,
6.0,162.0,3.03,141.5,3.437,-3.269,0.1,Asym Spin tacked on CL,AS,
6.0,161.0,3.04,139.2,3.476,-3.287,0.2,Asym Spin tacked on CL,AS,
6.0,160.0,3.05,136.8,3.517,-3.305,0.2,Asym Spin tacked on CL,AS,
6.0,159.0,3.07,134.4,3.560,-3.324,0.2,Asym Spin tacked on CL,AS,
6.0,158.0,3.08,132.0,3.605,-3.343,0.2,Asym Spin tacked on CL,AS,
6.0,157.0,3.10,129.6,3.651,-3.361,0.2,Asym Spin tacked on CL,AS,
6.0,156.0,3.12,127.2,3.699,-3.379,0.2,Asym Spin tacked on CL,AS,
6.0,155.0,3.14,124.7,3.747,-3.396,0.3,Asym Spin tacked on CL,AS,
6.0,154.0,3.17,122.3,3.797,-3.413,0.3,Asym Spin tacked on CL,AS,
6.0,153.0,3.20,119.9,3.848,-3.428,0.3,Asym Spin tacked on CL,AS,
6.0,152.0,3.24,117.5,3.900,-3.443,0.3,Asym Spin tacked on CL,AS,
6.0,151.0,3.27,115.2,3.953,-3.458,0.3,Asym Spin tacked on CL,AS,
6.0,150.0,3.31,112.8,4.009,-3.471,0.4,Asym Spin tacked on CL,AS,
6.0,149.0,3.36,110.4,4.066,-3.485,0.4,Asym Spin tacked on CL,AS,
6.0,148.0,3.41,108.1,4.125,-3.498,0.4,Asym Spin tacked on CL,AS,
6.0,147.0,3.46,105.8,4.186,-3.511,0.5,Asym Spin tacked on CL,AS,
6.0,146.0,3.51,103.4,4.250,-3.524,0.5,Asym Spin tacked on CL,AS,
6.0,145.0,3.57,101.1,4.317,-3.536,0.5,Asym Spin tacked on CL,AS,
6.0,144.0,3.64,98.8,4.386,-3.548,0.5,Asym Spin tacked on CL,AS,
6.0,143.0,3.70,96.6,4.458,-3.560,0.6,Asym Spin tacked on CL,AS,
6.0,142.0,3.77,94.3,4.532,-3.571,0.6,Asym Spin tacked on CL,AS,
6.0,141.0,3.85,92.1,4.610,-3.583,0.7,Asym Spin tacked on CL,AS,
6.0,140.0,3.93,89.9,4.691,-3.593,0.7,Asym Spin tacked on CL,AS,
6.0,139.0,4.01,87.7,4.774,-3.603,0.8,Asym Spin tacked on CL,AS,
6.0,138.0,4.10,85.6,4.858,-3.610,0.8,Asym Spin tacked on CL,AS,
6.0,137.0,4.19,83.5,4.944,-3.616,0.9,Asym Spin tacked on CL,AS,
6.0,136.0,4.29,81.5,5.032,-3.619,0.9,Asym Spin tacked on CL,AS,
6.0,135.0,4.39,79.5,5.119,-3.620,1.0,Asym Spin tacked on CL,AS,
6.0,134.0,4.50,77.7,5.207,-3.617,1.1,Asym Spin tacked on CL,AS,
6.0,133.0,4.61,75.8,5.295,-3.611,1.2,Asym Spin tacked on CL,AS,
6.0,132.0,4.72,74.1,5.382,-3.601,1.2,Asym Spin tacked on CL,AS,
6.0,131.0,4.84,72.5,5.467,-3.587,1.3,Asym Spin tacked on CL,AS,
6.0,130.0,4.95,70.9,5.551,-3.568,1.4,Asym Spin tacked on CL,AS,
6.0,129.0,5.07,69.4,5.632,-3.544,1.5,Asym Spin tacked on CL,AS,
6.0,128.0,5.19,68.0,5.711,-3.516,1.6,Asym Spin tacked on CL,AS,
6.0,127.0,5.32,66.6,5.787,-3.483,1.7,Asym Spin tacked on CL,AS,
6.0,126.0,5.44,65.3,5.861,-3.445,1.7,Asym Spin tacked on CL,AS,
6.0,125.0,5.56,64.1,5.932,-3.402,1.8,Asym Spin tacked on CL,AS,
6.0,124.0,5.69,63.0,6.000,-3.355,1.9,Asym Spin tacked on CL,AS,
6.0,123.0,5.81,61.9,6.065,-3.303,2.0,Asym Spin tacked on CL,AS,
6.0,122.0,5.93,60.8,6.127,-3.247,2.1,Asym Spin tacked on CL,AS,
6.0,121.0,6.06,59.9,6.186,-3.186,2.2,Asym Spin tacked on CL,AS,
6.0,120.0,6.18,58.9,6.243,-3.121,2.3,Asym Spin tacked on CL,AS,
6.0,119.0,6.30,58.0,6.296,-3.052,2.4,Asym Spin tacked on CL,AS,
6.0,118.0,6.42,57.2,6.346,-2.979,2.5,Asym Spin tacked on CL,AS,
6.0,117.0,6.54,56.4,6.394,-2.903,2.6,Asym Spin tacked on CL,AS,
6.0,116.0,6.66,55.6,6.439,-2.823,2.6,Asym Spin tacked on CL,AS,
6.0,115.0,6.77,54.8,6.482,-2.739,2.7,Asym Spin tacked on CL,AS,
6.0,114.0,6.89,54.1,6.523,-2.653,2.8,Asym Spin tacked on CL,AS,
6.0,113.0,7.00,53.4,6.562,-2.564,2.9,Asym Spin tacked on CL,AS,
6.0,112.0,7.12,52.7,6.599,-2.472,3.0,Asym Spin tacked on CL,AS,
6.0,111.0,7.23,52.0,6.635,-2.378,3.1,Asym Spin tacked on CL,AS,
6.0,110.0,7.34,51.4,6.669,-2.281,3.2,Asym Spin tacked on CL,AS,
6.0,109.0,7.45,50.8,6.702,-2.182,3.3,Asym Spin tacked on CL,AS,
6.0,108.0,7.56,50.1,6.732,-2.080,3.4,Asym Spin tacked on CL,AS,
6.0,107.0,7.67,49.5,6.762,-1.977,3.5,Asym Spin tacked on CL,AS,
6.0,106.0,7.78,48.9,6.789,-1.871,3.6,Asym Spin tacked on CL,AS,
6.0,105.0,7.89,48.4,6.815,-1.764,3.7,Asym Spin tacked on CL,AS,
6.0,104.0,7.99,47.8,6.839,-1.654,3.8,Asym Spin tacked on CL,AS,
6.0,103.0,8.10,47.3,6.861,-1.543,3.9,Asym Spin tacked on CL,AS,
6.0,102.0,8.20,46.7,6.881,-1.431,4.0,Asym Spin tacked on CL,AS,
6.0,101.0,8.30,46.2,6.899,-1.316,4.1,Asym Spin tacked on CL,AS,
6.0,100.0,8.39,45.7,6.915,-1.201,4.2,Asym Spin tacked on CL,AS,
6.0,99.0,8.49,45.2,6.929,-1.084,4.3,Asym Spin tacked on CL,AS,
6.0,98.0,8.58,44.7,6.941,-0.966,4.4,Asym Spin tacked on CL,AS,
6.0,97.0,8.68,44.2,6.951,-0.847,4.5,Asym Spin tacked on CL,AS,
6.0,96.0,8.77,43.8,6.958,-0.727,4.6,Asym Spin tacked on CL,AS,
6.0,95.0,8.85,43.3,6.963,-0.607,4.7,Asym Spin tacked on CL,AS,
6.0,94.0,8.94,42.9,6.970,-0.486,4.8,Asym Spin tacked on CL,AS,
6.0,93.0,9.02,42.4,6.968,-0.365,4.9,Asym Spin tacked on CL,AS,
6.0,92.0,9.10,42.0,6.963,-0.243,5.0,Asym Spin tacked on CL,AS,
6.0,91.0,9.18,41.6,6.955,-0.121,5.1,Asym Spin tacked on CL,AS,
6.0,90.0,9.25,41.2,6.945,0.000,5.2,Asym Spin tacked on CL,AS,
6.0,89.0,9.32,40.8,6.932,0.121,5.3,Asym Spin tacked on CL,AS,
6.0,88.0,9.39,40.4,6.916,0.241,5.3,Asym Spin tacked on CL,AS,
6.0,87.0,9.45,40.1,6.898,0.361,5.4,Asym Spin tacked on CL,AS,
6.0,86.0,9.51,39.7,6.877,0.480,5.4,Asym Spin tacked on CL,AS,
6.0,85.0,9.57,39.4,6.854,0.597,5.5,Asym Spin tacked on CL,AS,
6.0,84.0,9.62,39.0,6.828,0.714,5.5,Asym Spin tacked on CL,AS,
6.0,83.0,9.68,38.7,6.800,0.829,5.5,Asym Spin tacked on CL,AS,
6.0,82.0,9.73,38.3,6.770,0.942,5.6,Asym Spin tacked on CL,AS,
6.0,81.0,9.78,38.0,6.737,1.054,5.6,Asym Spin tacked on CL,AS,
6.0,80.0,9.82,37.6,6.703,1.164,5.6,Asym Spin tacked on CL,AS,
6.0,79.0,9.86,37.3,6.667,1.272,5.6,Asym Spin tacked on CL,AS,
6.0,78.0,9.90,37.0,6.628,1.378,5.6,Asym Spin tacked on CL,AS,
6.0,77.0,9.94,36.6,6.588,1.482,5.5,Asym Spin tacked on CL,AS,
6.0,76.0,9.97,36.3,6.545,1.583,5.5,Asym Spin tacked on CL,AS,
6.0,75.0,10.00,36.0,6.500,1.682,5.5,Asym Spin tacked on CL,AS,
6.0,74.0,10.03,35.7,6.453,1.779,5.5,Asym Spin tacked on CL,AS,
6.0,73.0,10.06,35.4,6.404,1.872,5.4,Asym Spin tacked on CL,AS,
6.0,72.0,10.08,35.1,6.352,1.963,5.4,Asym Spin tacked on CL,AS,
6.0,71.0,10.10,34.8,6.298,2.050,5.3,Asym Spin tacked on CL,AS,
6.0,70.0,10.12,34.5,6.241,2.135,5.3,Asym Spin tacked on CL,AS,
6.0,69.0,10.13,34.2,6.182,2.215,5.3,Asym Spin tacked on CL,AS,
6.0,68.0,10.14,33.9,6.120,2.293,5.2,Asym Spin tacked on CL,AS,
6.0,67.0,10.14,33.6,6.056,2.366,5.2,Asym Spin tacked on CL,AS,
6.0,66.0,10.14,33.3,5.989,2.436,5.1,Asym Spin tacked on CL,AS,
6.0,65.0,10.14,33.0,5.919,2.502,5.0,Asym Spin tacked on CL,AS,
6.0,64.0,10.14,32.7,5.848,2.563,5.0,Asym Spin tacked on CL,AS,
6.0,63.0,10.13,32.4,5.774,2.621,4.9,Asym Spin tacked on CL,AS,
6.0,62.0,10.12,32.1,5.697,2.675,4.9,Asym Spin tacked on CL,AS,
6.0,61.0,10.11,31.8,5.618,2.724,4.8,Asym Spin tacked on CL,AS,
6.0,60.0,10.09,31.5,5.536,2.768,4.8,Asym Spin tacked on CL,AS,
6.0,135.3,4.36,80.1,5.093,-3.620,1.0,Asym Spin tacked on CL,AS,OPTIMAL
6.0,180.0,2.98,180.0,2.962,-2.962,0.0,Jib,J,
6.0,179.0,2.97,178.0,2.970,-2.970,0.0,Jib,J,
6.0,178.0,2.96,176.0,2.979,-2.977,0.0,Jib,J,
6.0,177.0,2.96,174.0,2.989,-2.985,0.1,Jib,J,
6.0,176.0,2.96,171.9,2.999,-2.992,0.1,Jib,J,
6.0,175.0,2.95,169.9,3.010,-2.999,0.1,Jib,J,
6.0,174.0,2.95,167.9,3.022,-3.005,0.1,Jib,J,
6.0,173.0,2.95,165.8,3.034,-3.011,0.1,Jib,J,
6.0,172.0,2.95,163.8,3.046,-3.017,0.1,Jib,J,
6.0,171.0,2.96,161.7,3.059,-3.021,0.1,Jib,J,
6.0,170.0,2.96,159.6,3.072,-3.025,0.1,Jib,J,
6.0,169.0,2.97,157.6,3.086,-3.029,0.1,Jib,J,
6.0,168.0,2.98,155.5,3.099,-3.032,0.1,Jib,J,
6.0,167.0,2.99,153.5,3.114,-3.034,0.1,Jib,J,
6.0,166.0,3.00,151.4,3.128,-3.035,0.2,Jib,J,
